Genre	Artist	Title	Source
Kanye West	Gold Digger (ft. Jamie Foxx)	R&B/Hip-Hop	https://www.youtube.com/watch?v=ex8xUxjI_Mo
Jazz	Sound of Music	Edelweiss	https://www.youtube.com/watch?v=nUyKEvAJZK4
Rock	Pink Floyd	Comfortably Numb	https://www.youtube.com/watch?v=fcbYDJcu3lo
Rock	James Taylor	Sweet Baby James	https://www.youtube.com/watch?v=kIfKXqrwrFk
Rock	Fleetwood Mac	Dreams	https://www.youtube.com/watch?v=21z2yz36L8E
Country	Kacey Musgraves	Golden Hour	https://www.youtube.com/watch?v=wNaJq2VjljY
Country	Kacey Musgraves	Space Cowboy	https://www.youtube.com/watch?v=noI9Rbb3uhw
Country	Kacey Musgraves	High Horse	https://www.youtube.com/watch?v=l8dPB6D1DV4
Country	Lady Antebellum	Need You Now 	https://www.youtube.com/watch?v=U4j8UroIWqU
Pop	Corinne Bailey Rae 	Put Your Records On 	https://www.youtube.com/watch?v=bKOTQtq_Y_U
Pop	Celine Dion 	It's All Coming Back to Me Now	https://www.youtube.com/watch?v=BxBjEIncjtM
Pop	Celine Dion 	Because You Loved Me	https://www.youtube.com/watch?v=sPu9jduC1HI
Pop	Celine Dion 	My Heart Will Go On 	https://www.youtube.com/watch?v=Gf6_JEbmg5o
Pop	Gwen Stefani	Hollaback Girl	https://www.youtube.com/watch?v=je_ibEx1SWo
Pop	No Doubt	Don't Speak	https://www.youtube.com/watch?v=KXs5tbzSlFQ
Pop	No Doubt	Underneath It All	https://www.youtube.com/watch?v=oQmF4U1rYWY
Pop	No Doubt	Hella Good 	https://www.youtube.com/watch?v=Oec_M_kFjsU
Country	Shania Twain	That Don't Impress Me Much	https://www.youtube.com/watch?v=jpmrQ_2FIZg
Country	Shania Twain	Man! I Feel LIke a Woman	https://www.youtube.com/watch?v=Sn3StfWaGkE
Disney	Hercules	I Won't Say I'm In Love	https://www.youtube.com/watch?v=QJmL664nLhA
Disney	Frozen	Let It Go	https://www.youtube.com/watch?v=ifCAfAzOBJM&list=PLznIx3_zY-TwVNgCbWgXZfk5kpl59pBxE&index=1
Disney	Tangled	I See the Light	https://www.youtube.com/watch?v=FLgWioSXAQU&list=PLznIx3_zY-TwVNgCbWgXZfk5kpl59pBxE&index=3
Disney	Hercules	Go the Distance	https://www.youtube.com/watch?v=xswH-FZvwBQ&list=PLznIx3_zY-TwVNgCbWgXZfk5kpl59pBxE&index=4
Disney	Beauty and the Beast	Tale as Old as Time	https://www.youtube.com/watch?v=dWoGvNofjbM&list=PLznIx3_zY-TwVNgCbWgXZfk5kpl59pBxE&index=5
